Name,Python (out of 3),Machine Learning (out of 3),Natural Language Processing (NLP) (out of 3),Deep Learning (out of 3),Other skills,"Are you available for 3 months, starting immediately, for a full-time work from home internship? ",Degree,Stream,Current Year Of Graduation,Performance_PG,Performance_UG,Performance_12,Performance_10,Overall Match Percentage
,2,0,0,0,"Git, GitHub, Linux, Adobe After Effects, Adobe Illustrator, Adobe Photoshop, Amazon Web Services (AWS), AngularJS, C Programming, C++ Programming, CSS, Data Analytics, Data Science, Data Structures, Database Management System (DBMS), Docker, Figma, Firebase, Google Cloud Computing, HTML, Java, JavaScript, MS-Excel, MongoDB, Node.js, Postman, Python, REST API, ReactJS, SQL, Selenium, TypeScript, Database Testing",24,B.Tech,Computer Science & Engineering,2024,,8.90/10,,,75.0
,3,2,2,0,"Adobe XD, BIG DATA ANALYTICS, Canva, Data Analytics, Data Science, Figma, MS-Excel, MS-PowerPoint, Python, Adobe Photoshop, C++ Programming, Data Structures, Machine Learning, Natural Language Processing (NLP), SQL, Tableau, Amazon Web Services (AWS), Computer Vision",24,Bachelor of Engineering (B.E),,2024,,,85.60/85.60,10.00/10.00,100.0
,2,2,0,0,"C++ Programming, Data Science, Machine Learning, Python",24,B.Tech,Computer Science,2023,,8.10/10,93.40/93.40,10.00/10.00,100.0
,2,2,0,2,"Data Analytics, Data Science, MS-Excel, R Programming, Statistical Modeling, Artificial Intelligence, Deep Learning, Machine Learning, Neural Networks, Python",24,BS in Data Science and Applications,Statistics,2022,,7.09/10,,,100.0
,2,1,2,0,"C++ Programming, CSS, Data Analytics, HTML, MS-Excel, Natural Language Processing (NLP), Python, Data Science, Google Analytics, Machine Learning, SQL",24,B.Tech,Electronics and Telecommunication Engineering (ETE),2024,,8.69/10,,,100.0
,2,2,0,1,"Atmel AVR, Data Analytics, Data Science, MS-Excel, Machine Learning, Power BI, Python, Raspberry Pi, SQL, Computer Vision, Deep Learning",24,PGP,Data Science And Machine Learning,2023,,6.80/10,75.20/75.20,8.80/8.80,75.0
,2,1,1,0,"C++ Programming, Data Analytics, Data Structures, Git, GitHub, Java, Python, SQL, Artificial intelligence, Data Science, Database Management System (DBMS), Machine Learning, Natural Language Processing (NLP)",24,B.Tech,Information and Communication Technology,2023,,7.71/10,89.90/89.90,10.00/10.00,100.0
,2,2,0,1,"Android, Artificial Intelligence, C Programming, C++ Programming, Data Analytics, Data Structures, Database Management System (DBMS), Java, Machine Learning, Python, SQL, Cloud Computing, Data Science, Deep Learning, German Proficiency (Spoken), Linux, Neural Networks, SQLite",24,Bachelor of Technology (B.Tech),computer science,2025,8.50/10,,,,100.0
,2,2,0,1,"MS-Excel, Artificial Intelligence, Data Analytics, Data Science, Data Structures, Machine Learning, MySQL, Python, C++ Programming, Computer Vision, Deep Learning",24,Bachelor of Technology (B.Tech),Information Technology,2023,,7.85/10,76.80/76.80,81.00/81.00,100.0
,1,1,0,0,"MS-Excel, Data Analytics, Data Science, Database Management System (DBMS), Machine Learning, Python, SQL",24,Bachelor of Commerce (B.Com),Commerce,2024,,,,,75.0
,1,1,0,0,"CSS, Data Analytics, Database Management System (DBMS), HTML, Java, MS-Excel, Power BI, Tableau, Data Science, Machine Learning, MySQL, Python",24,B.Tech,Computer Science,2024,,7.00/10,,,75.0
,2,2,1,2,"Database Management System (DBMS), English Proficiency (Written), MS-Excel, MS-Word, C Programming, Creative Writing, Data Analytics, Data Science, Data Structures, Deep Learning, English Proficiency (Spoken), Figma, Java, MS SQL Server, MS-Office, MS-PowerPoint, Machine Learning, Python, SQL, UI & UX Design, Video Editing, Apache, Blogging, Computer Vision, Natural Language Processing (NLP), Search Engine Optimization (SEO), Social Media Marketing, User Interface (UI) Development",24,Bachelor of Technology (B.Tech),Computer Science & Engineering,2024,,9.80/10,,,100.0
,2,2,0,0,"Machine Learning, Python, C++ Programming, Computer Networks, Data Analytics, Data Science, MS-Excel",24,Bachelor of Engineering (B.E),Electronics and Telecommunication Engineering (ETE),2023,8.70/10,,,,100.0
,2,1,0,0,"Python, Artificial Intelligence, Data Analytics, Machine Learning, Microsoft Azure, R Programming",24,Bachelor of Engineering (B.E),,2023,,,,,87.5
,2,2,0,1,"MS-Excel, Machine Learning, Power BI, Python, SQL, Data Analytics, Data Science, Deep Learning",24,M.Sc. in Data Science,Data Science,2023,8.50/10,,,,75.0
,2,2,2,1,"C++ Programming, Chemistry, English Proficiency (Spoken), Machine Learning, Mathematics, Natural Language Processing (NLP), Physics, Python, SQL, Unity 3D, Algorithms, Android, Artificial intelligence, Blender 3D, C Programming, C#.NET, CSS, Computer Vision, Data Analytics, Data Science, Data Structures, Deep Learning, Django, English Proficiency (Written), HTML, MS-Excel, MS-Office, MongoDB, Tableau, Unity Engine",24,B.Tech (Hons.),Computer Science,2023,,,76.90/76.90,10.00/10.00,100.0
,2,2,1,0,"Algorithms, C++ Programming, Data Structures, English Proficiency (Spoken), English Proficiency (Written), Machine Learning, Python, Computer Vision, Data Analytics, Natural Language Processing (NLP)",24,B.Tech,Electrical and Electronics Engineering,2024,7.55/10,,9.28/9.28,90.60/90.60,87.5
,2,2,2,0,"MS-Excel, Machine Learning, MySQL, Natural Language Processing (NLP), Python, R Programming, SQL",24,BS in Data Science and Applications,,2024,,,,,75.0
,2,2,1,1,"Cloud Computing, Amazon Web Services (AWS), C Programming, Computer Networking, Java, Machine Learning, Python, Blockchain, CSS, Deep Learning, Flutter, Internet of Things (IoT), MySQL, Natural Language Processing (NLP), PHP, SQL",24,Master of Computer Applications (MCA),Networks And Communication,2023,5.54/10,7.28/10,59.30/59.30,7.00/7.00,75.0
,1,2,2,2,"Amazon Web Services (AWS), Artificial intelligence, Data Science, Database Management System (DBMS), Deep Learning, HTML, Machine Learning, MySQL, Natural Language Processing (NLP), SQL, Tableau, Python",24,Master of Technology (M.Tech),Statistics Computing( DATA Science ),2022,,59.00/100,8.90/8.90,7.60/7.60,75.0
,1,1,1,1,"English Proficiency (Spoken), English Proficiency (Written), AutoCAD, MS-Excel, MS-Office, Statistical Modeling, Statistics, Data Analytics, Data Science, Deep Learning, Machine Learning, Natural Language Processing (NLP), Project Management, Python, SPSS, SQL, Tableau",24,PG Diploma in Data Science,,2023,,6.81/10,,,75.0
,3,2,0,2,"Python, C++ Programming, Data Analytics, Deep Learning, Machine Learning, Robotic Process Automation (RPA), SQL, Power BI, Tableau",24,B.Tech (Hons.),Computer Science & Engineering,2022,,7.63/10,7.68/7.68,90.00/90.00,87.5
,3,2,2,2,"Data Science, Database Management System (DBMS), Python, Computer Vision, Data Analytics, Data Structures, Deep Learning, English Proficiency (Spoken), English Proficiency (Written), GNU Octave, Hadoop, MS-Excel, MS-Office, Machine Learning, Natural Language Processing (NLP), Neural Networks, NoSQL, Power BI, R Programming, SQL, Tableau, OpenCV",24,Integrated M.Sc.,Data Science,2024,8.81/10,,,,100.0
,3,2,3,3,"Computer Vision, Data Science, Deep Learning, MS-Excel, Natural Language Processing (NLP), Power BI, Python, SQL, Amazon Web Server (AWS), Amazon Web Services (AWS), C Programming, CSS, Data Analytics, Data Structures, Database Management System (DBMS), Django, Flask, HTML, Java, JavaScript, Machine Learning, R Programming, Statistics",24,B.Tech,computer science,2024,,,91.00/91.00,,100.0
,2,2,0,0,"Data Science, Data Structures, Machine Learning, Python, Tableau, Data Analytics, Database Management System (DBMS)",24,B.Tech,,2025,,,,,75.0
,2,1,1,0,"CSS, Data Analytics, HTML, Python, C++ Programming, Data Science, Django, Flask, Machine Learning, Natural Language Processing (NLP), PHP, SQL",24,B.Tech,Computer Science,2021,,7.20/10,60.00/60.00,84.40/84.40,100.0
,2,3,0,3,"C++ Programming, Data Structures, Deep Learning, Machine Learning, Data Science, Database Management System (DBMS), Python",24,B.Tech,Information Technology,2024,8.38/10,,,,100.0
,2,1,0,0,"English Proficiency (Spoken), English Proficiency (Written), AutoCAD, C Programming, C++ Programming, MS-Excel, Python, Machine Learning",24,B.Tech,Metallurgical And Materials Engineering,2024,,8.06/10,9.62/9.62,9.48/9.48,75.0
,2,2,2,2,"English Proficiency (Spoken), English Proficiency (Written), Accounting, Algorithms, Business Analysis, Computer Vision, Data Analytics, Data Science, Database Management System (DBMS), Deep Learning, Financial literacy, MS-Excel, MS-Office, MS-Word, Machine Learning, Natural Language Processing (NLP), Neural Networks, Power BI, Python, Research and Analytics, SQL, Tableau, Data Structures, Financial Modeling, Investing, Stock Trading, Tally",11,B.Tech,Electronics Engineering,2024,9.00/10,,,,75.0
,2,1,0,0,"Data Analytics, MS-Excel, Python, Research and Analytics, SQL, Data Science, Machine Learning, Tableau",24,Integrated B.Tech & M.Tech,,2024,,,,,75.0
,2,2,0,0,"Data Analytics, Data Science, MS-Excel, Machine Learning, Python, Tableau, SQL",24,"Bachelor Of Science (B.Sc), Data Science",,2023,9.60/10,,,,75.0
,1,1,0,0,"MS-Excel, MS-Office, Data Analytics, Image Processing, Machine Learning, Python, R Programming, SQL",24,M.Sc. in Data Science,,2023,8.22/10,7.03/10,76.80/76.80,7.70/7.70,87.5
,2,2,0,0,"Data Analytics, English Proficiency (Written), Malayalam Proficiency (Spoken), Malayalam Proficiency (Written), Power BI, Computer Vision, Data Science, Data Structures, Database Management System (DBMS), English Proficiency (Spoken), Hindi Proficiency (Spoken), Hindi Proficiency (Written), Image Processing, Java, JavaFX, MS-Excel, Machine Learning, NoSQL, Python, R Programming, SQL, Tableau, Tamil Proficiency (Spoken), French Proficiency (spoken), JavaScript",24,Bachelor of Science (B.Sc),Data Science,2023,,7.21/10,8.92/8.92,,100.0
,2,1,1,0,"C++ Programming, CSS, HTML, MySQL, Python, Android, Artificial Intelligence, JavaScript, Machine Learning, Natural Language Processing (NLP), Node.js",24,B.Tech,Computer Science & Engineering,2024,,,78.00/78.00,92.50/92.50,75.0
,2,2,0,0,"C Programming, C++ Programming, Java, Machine Learning, Python, SQL, CSS, Data Science, HTML, JavaScript, OpenCV",24,B.Tech (Hons.),CSE Hons DS&AI,2023,,9.13/10,92.60/92.60,,100.0
,2,2,2,0,"Data Analytics, Data Science, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Machine Learning, Natural Language Processing (NLP), Python, SQL, Tableau",24,Bachelor of Computer Applications (BCA),Computer Science,2022,,78.00/100,83.00/83.00,,75.0
,2,1,0,1,"Algorithms, Data Structures, MS-Excel, Python, Artificial Intelligence, Data Analytics, Data Science, Deep Learning, Git, GitHub, Machine Learning, MySQL",24,B.Tech,Computer Science,2023,,7.20/10,70.00/70.00,8.80/8.80,75.0
,2,0,0,0,"CSS, Creative Writing, English Proficiency (Spoken), English Proficiency (Written), HTML, MS-Excel, MS-Word, Power BI, SQL, C Programming, Data Science, Java, Python, Social Media Marketing",24,B.Tech,Computer Science & Engineering,2023,,7.55/10,9.50/9.50,9.70/9.70,75.0
,2,2,0,0,"C Programming, CSS, Data Structures, HTML, Java, Machine Learning, Python",24,B.Tech,Computer Sciences &Engineering,2024,8.87/10,,73.00/73.00,85.00/85.00,87.5
,2,2,2,2,"English Proficiency (Spoken), English Proficiency (Written), Product Lifecycle Management(PLM), Research and Analytics, Business Analysis, Data Science, Deep Learning, MS-Excel, MS-Office, Machine Learning, Natural Language Processing (NLP), Neural Networks, Power BI, Project Management, Python, SQL, Tableau",24,B.Tech,computer science,2023,,,,,75.0
,1,2,0,1,"Machine Learning, Data Science, Deep Learning, Python, SQL, Statistics",24,Post Graduate Programme (PGP),Computational Data Science,2023,,,,,75.0
,2,1,0,1,"English Proficiency (Spoken), English Proficiency (Written), CSS, Data Analytics, MS-Excel, MS-Office, MySQL, Python, SQL, Social Media Marketing, Tableau, Creative Writing, Data Science, Deep Learning, Email Marketing, Facebook Marketing, Java, Machine Learning, Power BI, Research and Analytics, Search Engine Marketing (SEM), Search Engine Optimization (SEO)",24,,Data Analytics,2023,,6.02/100,84.00/84.00,8.80/8.80,75.0
,1,1,0,0,"C++ Programming, Machine Learning, Python, R Programming, SQL",24,,,0,,,60.00/60.00,77.00/77.00,75.0
